Idade;Sexo;Grau_Escolaridade;Salario;Tempo_Emprego;Moradia;Valor_Emprestimo;Proposito;Taxa;Comprometimento_Renda;Score_Credito;Inadimplencias_Anteriores;Credito_Concedido
22.0;feminino;Mestrado;71948.0;0;ALUGUEL;35000.0;PESSOAL;16.02;0.49;561;No;1
21.0;feminino;Segundo Grau;12282.0;0;PRÓPRIA;1000.0;EDUCACIONAL;11.14;0.08;504;Yes;0
25.0;feminino;Segundo Grau;12438.0;3;HIPOTECA;5500.0;MÉDICO;12.87;0.44;635;No;1
23.0;feminino;Bacharel;79753.0;0;ALUGUEL;35000.0;MÉDICO;15.23;0.44;675;No;1
24.0;masculino;Mestrado;66135.0;1;ALUGUEL;35000.0;MÉDICO;14.27;0.53;586;No;1
21.0;feminino;Segundo Grau;12951.0;0;PRÓPRIA;2500.0;PROJETO;7.14;0.19;532;No;1
26.0;feminino;Bacharel;93471.0;1;ALUGUEL;35000.0;EDUCACIONAL;12.42;0.37;701;No;1
24.0;feminino;Segundo Grau;95550.0;5;ALUGUEL;35000.0;MÉDICO;11.11;0.37;585;No;1
24.0;feminino;Tecnólogo;100684.0;3;ALUGUEL;35000.0;PESSOAL;8.9;0.35;544;No;1
21.0;feminino;Segundo Grau;12739.0;0;PRÓPRIA;1600.0;PROJETO;14.74;0.13;640;No;1
22.0;feminino;Segundo Grau;102985.0;0;ALUGUEL;35000.0;PROJETO;10.37;0.34;621;No;1
21.0;feminino;Tecnólogo;13113.0;0;PRÓPRIA;4500.0;REFORMA;8.63;0.34;651;No;1
23.0;masculino;Bacharel;114860.0;3;ALUGUEL;35000.0;PROJETO;7.9;0.3;573;No;1
26.0;masculino;Mestrado;130713.0;0;ALUGUEL;35000.0;EDUCACIONAL;18.39;0.27;708;No;1
23.0;feminino;Tecnólogo;138998.0;0;ALUGUEL;35000.0;EDUCACIONAL;7.9;0.25;583;No;0
23.0;feminino;Mestrado;600891.0;5;HIPOTECA;30000.0;QUITAÇÃO;10.65;0.05;670;Yes;0
23.0;masculino;Bacharel;144943.0;0;ALUGUEL;35000.0;EDUCACIONAL;7.9;0.24;663;No;0
23.0;feminino;Segundo Grau;111369.0;0;ALUGUEL;35000.0;MÉDICO;20.0;0.31;694;No;1
23.0;masculino;Bacharel;136628.0;0;ALUGUEL;35000.0;QUITAÇÃO;18.25;0.26;709;No;1
24.0;feminino;Mestrado;14283.0;1;HIPOTECA;1750.0;EDUCACIONAL;10.99;0.12;679;No;1
25.0;masculino;Bacharel;195718.0;0;ALUGUEL;35000.0;PROJETO;7.49;0.18;684;Yes;0
25.0;masculino;Segundo Grau;165792.0;4;ALUGUEL;34800.0;PESSOAL;16.77;0.21;662;No;0
22.0;feminino;Mestrado;79255.0;0;ALUGUEL;34000.0;EDUCACIONAL;17.58;0.43;691;No;1
24.0;feminino;Bacharel;13866.0;0;PRÓPRIA;1500.0;PESSOAL;7.29;0.11;600;Yes;0
22.0;masculino;Bacharel;97420.0;1;ALUGUEL;33950.0;PESSOAL;14.54;0.35;691;No;1
24.0;feminino;Segundo Grau;82443.0;0;ALUGUEL;33000.0;REFORMA;12.68;0.4;654;No;1
21.0;feminino;Tecnólogo;14288.0;0;HIPOTECA;4575.0;PROJETO;17.74;0.32;626;No;1
23.0;masculino;Segundo Grau;14293.0;0;PRÓPRIA;1400.0;PESSOAL;9.32;0.1;607;No;0
24.0;feminino;Bacharel;79054.0;1;ALUGUEL;32500.0;REFORMA;9.99;0.41;700;No;1
